,ranking,frequency
0,1.6438678547198389,969
1,1.3643488264824213,275
2,1.210884600854836,191
3,1.2044507032180995,84
4,1.1170232150630641,298
5,1.103946179481718,306
6,1.084967673078957,215
7,1.0728911327867365,213
8,1.0669022721784804,204
9,1.0658643732294082,227
10,1.0296922264820398,369
11,1.0283252629117892,106
12,1.0283252629117892,192
13,1.0283252629117892,12
14,1.0283252629117892,16
15,1.0283252629117892,173
16,1.0095795014152018,101
17,1.0091716881876618,66
18,1.0091716881876618,65
19,1.0091716881876618,55
20,1.0091716881876618,167
21,0.9911062872871853,11
22,0.9911062872871853,5
23,0.9840795277298569,20
24,0.9840795277298569,123
25,0.9840795277298569,128
26,0.9840795277298569,4
27,0.9586671236903594,130
28,0.9586671236903594,40
29,0.9586671236903594,1
30,0.9586671236903594,60
31,0.9586671236903594,65
32,0.9586671236903594,4
33,0.9479073809824884,1
34,0.9479073809824884,1
35,0.9479073809824884,7
36,0.9479073809824884,1
37,0.9479073809824884,1
38,0.9465404174122378,11
39,0.9465404174122378,8
40,0.9465404174122378,91
41,0.9465404174122378,103
42,0.9465404174122378,80
43,0.9465404174122378,7
44,0.9399474454535292,5
45,0.9399474454535292,3
46,0.9399474454535292,5
47,0.9399474454535292,2
48,0.93646402742728,1
49,0.93646402742728,28
50,0.93646402742728,48
51,0.93646402742728,1
52,0.93646402742728,1
53,0.93646402742728,27
54,0.93646402742728,1
55,0.93646402742728,19
56,0.933958584845273,1
57,0.933958584845273,11
58,0.933958584845273,1
59,0.933958584845273,22
60,0.933958584845273,1
61,0.933958584845273,45
62,0.933958584845273,174
63,0.933958584845273,1
64,0.933958584845273,1
65,0.933958584845273,1
66,0.933958584845273,15
67,0.933958584845273,53
68,0.933958584845273,1
69,0.9337835165239068,1
70,0.9337835165239068,19
71,0.9337835165239068,1
72,0.9337835165239068,2
73,0.9337835165239068,1
74,0.9337835165239068,2
75,0.9337835165239068,38
