views;respects;tot_recommendations
4687;10;420
7652;17;323
109313;189;46
59263;92;86
22660;24;36
4981;16;41
9712;11;374
7292;24;83
67480;65;36
3031;3;0
5019;11;316
8218;17;371
42476;26;316
3913;7;320
4235;4;418
8468;10;50
26779;45;352
6619;18;435
2037;1;2
5979;9;387
7222;44;36
3658;11;36
15740;25;2
21177;60;316
9214;20;335
58267;103;358
6057;30;316
2581;7;327
30628;41;324
31126;13;0
9712;23;316
13696;16;98
3834;14;22
32976;88;0
16130;21;36
1970;5;361
2952;8;64
8470;15;316
18427;25;36
9812;18;80
6917;15;0
3725;10;0
3893;5;316
13697;24;361
12593;37;87
17182;17;416
2717;9;63
1461;2;105
22341;35;316
4407;29;15
15439;47;376
3856;6;343
4694;24;338
10708;15;316
9284;18;316
25150;16;7
76444;31;328
32231;73;0
2338;8;423
2520;5;362
2751;1;361
16276;54;316
16921;103;22
13198;28;36
82669;45;30
18469;24;316
5230;12;367
17746;27;36
8341;20;70
9591;10;0
26136;15;316
12700;12;36
3076;9;22
4982;7;414
5245;0;47
1249;6;361
49054;130;36
3207;17;333
3873;5;45
5195;8;36
2623;9;352
5444;7;406
2585;4;1
2298;15;352
9678;47;22
5479;15;316
2601;4;361
27392;16;0
16684;11;333
20586;76;44
22660;108;115
2507;6;0
15688;24;426
11455;17;360
54781;81;36
28138;17;316
9764;23;4
4744;11;316
40092;82;316
3598;5;316
1966;1;316
2454;5;427
3736;11;316
2106;9;352
15439;59;36
5341;57;316
16684;14;36
3066;5;316
15190;34;316
19672;20;327
14443;35;363
39248;52;36
14301;49;36
4612;9;469
27640;36;7
235306;93;321
1807;5;361
14400;16;0
4531;6;81
27357;23;318
8716;12;58
30877;22;398
2578;8;417
16933;10;138
2901;6;316
6765;34;394
10175;20;316
4580;9;6
29383;49;36
2010;8;0
13643;9;316
6562;45;48
6428;5;341
7810;2;316
5017;12;36
1765;4;319
10319;18;324
6823;14;36
3865;5;380
9980;22;387
47832;73;25
4685;19;469
71464;57;316
7969;8;361
39868;44;405
34114;60;363
14941;31;41
5588;11;40
27640;59;338
4403;16;316
18676;27;361
2650;5;316
38154;57;394
20921;41;374
5924;4;318
37561;40;0
12018;38;358
36127;15;22
4183;4;398
12949;35;335
2006;6;316
21178;8;0
13066;34;39
10459;24;76
19921;14;321
7756;8;330
8272;17;408
4783;26;28
2952;17;12
7682;21;382
5820;7;316
21913;16;0
3828;7;36
2163;5;326
6205;11;47
3851;10;7
18427;30;460
6846;25;47
7222;20;316
8097;34;318
3249;9;386
13829;18;439
1478;0;45
1488;10;48
12368;32;333
65738;114;36
3806;6;316
8091;22;121
12476;7;316
6284;9;22
4484;16;333
5697;13;67
3275;18;45
19675;27;328
6475;9;374
3477;9;330
42077;55;387
19859;99;7
7270;16;36
13803;14;410
46813;127;45
8218;13;0
3574;3;429
5408;7;417
25897;4;361
94556;12;316
6121;8;0
2827;6;318
5479;12;7
2460;14;316
6219;24;316
16992;19;420
3413;4;73
80918;150;110
3654;15;367
25915;61;320
1741;4;378
53852;169;326
6096;20;420
4204;11;316
11580;49;0
18428;18;9
8574;6;91
14240;23;317
80039;43;316
16435;50;36
2977;10;375
5486;1;0
3847;15;356
3874;17;7
1932;5;27
1993;2;406
18342;8;341
23336;50;318
2277;2;406
5583;6;65
1917;6;316
6703;23;316
36131;40;36
15652;41;22
9169;8;342
1456;2;379
5764;20;316
3329;9;0
17183;19;111
8321;36;31
2246;2;0
5745;15;316
4825;12;431
128332;36;316
13447;53;58
16684;18;330
5357;22;337
2740;11;2
11704;18;343
17190;34;34
16684;19;66
286;0;22
3419;10;316
1614;4;22
1246;2;338
10957;31;407
15148;20;328
30379;57;143
30629;46;65
5977;14;36
79595;16;0
1987;11;11
18085;48;316
8569;5;0
1110;1;22
6316;20;72
2860;9;34
12451;35;316
6883;26;328
8716;35;316
4165;8;31
8218;12;36
70717;7;0
9603;4;0
8505;7;316
2566;5;0
3425;8;375
6519;11;10
2337;3;11
18427;30;336
12283;29;61
20729;23;2
19674;101;393
6664;10;0
19451;62;317
61710;37;361
21418;32;316
3248;8;316
1092;3;103
38845;53;342
11206;63;316
55781;90;406
4058;11;18
13859;33;0
3677;5;0
11974;25;88
15316;10;347
3984;5;361
31127;22;361
9198;18;36
7477;8;322
74452;229;336
109561;50;325
7222;11;0
111555;63;316
3972;6;88
3723;6;0
17183;22;368
43078;72;361
12932;12;436
21089;29;316
21166;67;7
5076;8;325
6702;17;447
9550;26;39
23158;46;406
11043;23;1
4310;10;356
5318;25;85
37351;42;94
32869;19;0
3519;13;36
16525;10;0
47809;108;316
20806;38;318
52541;121;418
2237;5;10
24082;25;26
36853;59;95
7066;13;36
3160;7;316
3919;3;0
3487;4;492
66983;70;363
5226;9;316
19454;94;36
8965;14;118
4470;2;316
19360;11;361
6046;18;0
6699;26;411
6608;13;4
158614;65;0
4693;4;346
10708;39;20
2740;12;320
15937;64;53
7178;29;41
39489;31;419
28664;95;42
4647;8;371
44074;37;82
59491;63;439
17537;36;36
10342;32;22
13155;20;321
6232;7;373
4438;3;36
1727;6;316
5775;10;51
7122;12;378
42581;47;316
99204;27;0
3885;17;316
7347;12;48
5347;20;321
5479;15;328
9961;15;330
23131;22;107
3407;6;58
3562;5;31
9712;25;7
67233;47;49
4595;8;330
9814;9;316
13945;42;316
142927;45;0
4988;15;322
14117;21;354
6062;7;0
7832;9;318
65488;207;69
8642;11;7
2723;9;328
3534;12;18
32908;49;141
51077;41;326
3462;11;0
30379;103;22
5352;16;93
45319;56;36
16621;76;22
12451;20;679
33118;37;22
47017;57;316
19808;30;98
157867;86;316
39614;42;338
9584;16;352
9463;18;341
40588;33;316
27353;64;22
9516;48;380
55819;121;53
3295;10;46
7397;22;0
3452;7;138
147592;56;0
5081;23;58
7568;14;375
30628;25;420
28138;35;367
2609;5;325
13094;21;2
46442;123;1
44572;32;341
15688;8;316
21415;53;36
7222;19;104
6403;10;328
9417;7;115
9565;4;1
3247;12;10
1890;8;7
13696;34;10
9712;33;46
30629;46;36
15596;31;327
10481;25;0
4483;11;36
4234;8;326
41335;47;316
68227;282;99
3540;8;316
6215;10;361
34363;51;361
2686;10;57
14257;41;36
3579;9;424
41596;32;316
4661;15;48
12313;26;360
43576;22;379
9961;20;316
6476;16;355
4986;27;322
24078;73;173
8470;19;22
28885;20;316
3448;5;36
14255;64;36
3407;12;316
13853;24;10
3892;10;323
11705;48;36
15190;41;36
3134;3;36
19156;30;370
12451;30;4
11464;24;411
12700;23;371
1332;1;361
10210;27;51
13447;53;349
60508;104;456
133567;67;425
11704;37;67
9903;15;53
7839;48;24
8207;20;65
23033;28;334
15190;51;332
13176;11;0
9070;49;316
20170;62;321
22910;42;0
4568;21;36
5479;17;363
3383;15;43
43078;85;45
49801;126;36
4502;13;22
8384;33;61
26395;42;316
2498;11;367
31626;18;325
1773;8;325
11489;15;90
3828;17;316
29632;21;0
62003;43;389
8141;10;33
21415;75;316
20764;25;375
4503;10;316
6475;8;406
2428;6;59
11206;33;414
4166;8;0
3894;19;36
8470;37;36
25615;70;349
1765;5;378
4313;4;316
5854;9;2
13198;71;36
5808;13;15
178286;208;36
3608;16;338
20151;69;46
18676;176;48
7208;24;36
12202;37;72
3194;16;4
7681;13;316
7306;33;421
25362;27;344
7224;19;374
11954;96;27
8965;33;359
4732;12;115
5916;25;116
3462;5;36
6819;24;335
2817;13;339
5728;9;316
16171;41;316
3250;7;0
5832;5;0
3957;6;0
4234;15;0
10708;26;0
3286;5;321
11206;26;62
6206;14;463
3487;3;45
27391;61;81
46815;17;321
3960;17;316
3099;6;444
3103;11;6
2833;7;316
7658;31;36
20549;13;316
12700;27;316
4927;13;36
6804;8;22
26146;34;385
8147;8;316
42599;43;354
8965;19;316
2654;0;33
3459;4;8
34443;13;22
192976;343;22
10514;19;392
3582;12;371
5515;9;365
24652;5;327
3569;7;316
3983;5;421
18405;46;67
13040;51;3
18676;22;382
10985;39;36
15593;28;67
16536;39;362
14194;27;122
5088;11;377
39102;34;316
4378;27;316
10459;50;320
20917;26;316
13542;26;36
16684;52;2
4505;11;30
4950;20;31
5189;10;362
2250;5;70
66235;302;48
8467;19;435
7840;14;69
5886;28;36
41086;60;0
2378;7;316
1350;13;316
1632;3;316
2730;5;4
70220;104;36
3814;9;411
1786;6;363
2808;5;316
15270;32;406
4337;5;55
12700;10;340
21709;46;69
1856;8;316
3736;6;10
4112;12;426
8687;26;152
3985;12;7
9465;4;134
45070;19;1
7985;19;316
2236;0;316
11153;25;316
183514;201;126
7266;10;330
23905;8;52
7080;13;0
15442;31;316
4309;22;316
8218;24;75
3689;13;130
27142;27;0
3889;21;371
13181;10;4
6281;8;321
12095;50;36
3134;9;22
10207;23;406
19323;30;316
24403;56;46
8216;14;0
2109;14;390
24688;9;316
1538;2;36
4344;11;36
14445;34;71
15439;18;316
4233;7;376
4056;11;316
3287;10;316
11577;33;0
286849;351;341
1956;3;2
3487;11;316
30130;137;42
15937;71;65
2488;11;338
41874;106;329
8559;10;345
7222;33;352
25399;57;55
113794;41;429
46566;78;24
17509;20;83
17280;25;418
101593;56;316
17561;40;85
5977;6;4
19422;32;96
5419;22;0
14692;29;316
12701;23;316
5496;12;45
5609;11;48
31376;41;36
8716;25;390
15317;10;325
31875;60;22
5931;22;71
5479;16;316
55778;77;36
7023;4;36
11542;43;316
16198;39;439
11796;56;36
4626;12;428
56026;26;112
7471;20;0
7302;9;5
12202;27;10
2681;6;56
21914;30;316
3694;17;316
1074;2;22
15937;15;11
10325;53;58
23656;40;57
9250;14;45
1314;6;316
18007;50;332
4368;22;320
3194;19;53
569;2;316
1969;3;316
11317;15;0
28885;62;353
4234;11;364
22035;20;320
5383;15;370
5840;4;1
56775;49;406
14804;32;10
13990;17;134
2480;14;0
10741;8;1
99014;40;316
6184;10;362
13447;30;316
13837;31;406
158864;307;65
6692;21;457
12949;10;109
3207;7;328
7428;27;316
5920;3;316
8469;14;347
43769;51;1
2024;6;336
1479;4;316
11822;22;316
1086;4;316
21913;39;41
5002;11;377
13448;10;29
41335;135;365
5633;23;0
4116;6;328
4223;6;327
58516;59;399
9570;6;316
4278;16;46
23407;15;81
5413;6;0
17182;18;411
15366;27;416
39095;48;131
13447;49;201
14942;41;0
59512;82;51
40018;20;335
7129;19;316
9703;76;22
2501;2;342
18925;87;316
3430;5;325
5901;22;41
8977;22;316
14194;34;51
8966;21;374
13447;51;324
4301;9;54
22660;70;47
12700;7;38
8625;19;22
1747;6;36
24403;60;316
4822;6;0
3315;6;0
9214;37;25
16933;21;41
11719;8;10
32359;22;69
1357;3;316
7722;5;10
17183;30;322
5162;9;369
2392;7;316
10730;40;361
13831;52;338
2740;3;316
4096;8;55
10565;12;316
33616;40;423
17930;97;316
9266;18;354
16933;13;316
38219;63;33
37711;33;388
3089;1;112
6974;12;36
2686;7;86
2167;5;316
2616;8;318
5663;11;330
8966;11;36
67766;22;443
2825;11;357
46813;15;316
16927;43;22
7862;7;316
7055;18;36
65193;37;55
3745;9;375
3227;10;316
13388;15;330
34788;43;36
6724;5;328
18676;37;316
2674;6;370
59926;41;344
4423;2;408
50299;54;408
6231;9;50
9912;17;0
1771;8;452
17431;17;160
5803;18;36
66484;32;339
8717;30;54
109312;219;321
283861;108;479
29632;28;47
38596;38;408
3236;7;67
18925;47;328
3938;6;316
8219;20;36
2829;10;36
7480;12;361
28138;21;380
4234;9;118
14941;58;316
33616;102;22
33617;40;316
3204;12;65
9961;14;380
5397;6;361
6475;9;36
2874;4;41
9697;26;317
13836;49;36
2892;5;74
14537;35;316
21309;9;425
19073;21;319
5350;13;90
12318;18;10
23947;37;0
26103;40;316
5872;23;53
9811;42;316
20543;21;316
28130;74;316
35251;79;328
5730;19;36
3553;10;386
6724;16;349
7969;14;86
13683;13;316
3136;11;36
9534;29;33
6398;6;0
13696;122;36
7061;32;316
19884;170;36
34114;70;388
6175;39;338
13447;31;316
64990;76;416
59662;71;428
6291;10;346
25150;17;316
24116;23;0
6223;10;95
56525;65;330
2242;2;4
115039;36;441
22909;167;36
7471;26;64
6475;14;316
12394;35;0
4219;17;36
32371;47;334
34028;30;316
2180;4;22
3691;8;316
1348;3;366
7434;22;36
8789;25;10
5831;7;316
3093;4;26
9006;28;22
2107;8;321
19196;56;349
8702;25;36
2802;11;36
5709;6;36
4947;10;0
30379;101;319
1901;5;316
16566;29;124
4761;19;27
5910;12;316
16361;43;651
172309;70;412
3897;4;316
4569;18;344
3799;9;372
1505;7;316
2325;2;316
7193;17;22
15535;8;316
100099;141;410
3856;10;361
8479;29;316
26147;19;330
1759;6;431
61986;41;353
20420;63;461
2275;11;0
33865;97;316
9961;25;140
13198;22;336
62002;106;1
145168;147;383
3848;10;27
10537;22;316
4394;6;36
9315;19;317
9305;18;320
48028;53;39
7230;15;318
49697;47;318
14825;35;455
7420;34;0
20170;80;328
10708;25;318
33367;47;345
10708;27;69
11370;39;325
8214;8;316
10167;42;351
19921;25;317
5230;11;322
8328;31;36
70964;215;322
8161;30;330
21221;131;14
5230;11;36
754;2;322
6374;27;36
20008;91;10
23090;89;61
10058;19;316
8365;29;319
3222;8;36
5087;9;353
9514;20;37
7384;28;39
7031;4;316
7222;15;185
4234;20;7
3187;20;58
8113;33;325
6634;12;341
54784;115;330
2309;9;318
25109;72;53
24901;60;73
81922;158;362
4661;16;316
5403;4;38
5472;16;349
19331;38;36
3110;8;189
7307;21;319
59628;108;378
2755;12;316
27642;40;47
14412;48;25
5430;25;349
9572;33;361
9463;24;36
49038;151;324
5039;35;320
14693;33;316
1848;5;10
2542;5;316
13846;23;316
1687;4;23
1340;5;37
6798;11;61
7720;19;83
3451;4;438
2104;1;36
119524;488;12
657361;439;398
21913;36;361
2491;5;386
3238;1;95
5230;22;36
13240;49;414
7969;14;455
12451;30;22
6158;7;80
3487;8;80
9712;15;330
6587;17;10
5824;22;316
6286;6;316
7720;21;45
555;2;36
13697;27;353
2920;18;316
13696;10;44
5369;21;0
3730;11;52
10279;23;0
6724;28;7
29632;68;22
9961;20;139
208914;132;338
20917;26;394
3119;9;316
3973;8;23
4483;12;4
2561;4;4
55629;38;361
6571;22;4
36928;122;531
10957;23;316
7903;15;366
12581;74;22
7223;16;46
11375;22;360
23407;53;381
6845;39;36
44572;83;316
7969;16;409
21458;153;22
5230;16;36
3238;7;335
8106;39;379
6726;12;320
4226;16;316
50548;84;439
5601;34;316
9002;36;0
8430;21;97
3432;7;22
28643;81;341
3604;20;402
8654;17;335
14443;37;0
10211;33;4
6526;14;323
11296;37;316
19672;13;36
13722;8;361
1372;1;22
4811;18;34
8825;6;0
6957;13;36
36670;93;394
20992;21;360
10211;17;362
9681;13;316
8965;23;53
3042;20;367
19672;76;43
23881;57;316
16469;28;0
6974;26;36
2754;17;316
1659;10;38
5680;14;316
16914;15;25
37600;113;7
5662;12;106
4893;10;90
11953;23;36
114043;397;87
4968;9;331
46174;142;10
3384;15;36
5556;17;49
73603;183;0
7131;16;338
12700;54;46
39668;74;434
16684;20;110
3989;8;160
4981;4;157
104961;95;4
8026;31;97
1439;6;0
2668;9;0
4605;11;365
15439;35;338
14169;78;316
13063;31;1
78187;181;316
5767;28;381
1598;2;4
8716;26;149
2116;2;36
23158;12;39
6131;21;36
5072;9;16
9436;19;349
24655;49;13
5903;14;82
17915;19;395
5389;7;316
8185;9;321
11373;11;341
4498;11;40
14614;32;40
6442;21;316
11461;23;448
6315;9;316
5941;13;316
3630;8;36
28386;12;316
30214;34;325
11844;23;78
11207;11;380
2374;5;81
25648;30;364
21994;26;36
21914;51;123
15439;24;11
10491;19;55
3432;13;40
7933;11;361
6662;10;329
5977;13;37
17680;59;316
3172;14;22
29384;46;36
4994;27;178
45568;59;471
4770;23;97
6990;18;316
7814;34;3
9263;23;0
5130;10;394
294568;379;316
5325;15;120
72460;51;323
3597;10;32
21415;18;36
9214;11;326
4981;16;49
2243;4;316
5692;17;316
2963;10;316
6037;21;338
9712;16;406
5313;14;55
3435;6;68
3697;5;424
1732;0;7
3707;3;4
12949;16;316
21664;39;443
2613;12;55
4483;6;4
9324;39;446
11206;34;316
31127;76;14
13198;47;45
4105;8;8
9904;23;318
11923;17;415
2982;9;316
15600;33;0
67231;28;463
38347;222;316
24653;39;333
30379;28;375
11107;19;365
7025;8;5
75199;33;316
50552;109;316
7116;14;375
1519;3;316
12703;19;9
24901;44;52
82171;154;37
31873;65;316
3259;7;316
4849;11;389
5028;8;68
11704;33;316
17182;20;330
16186;38;80
21913;57;390
7565;17;0
7869;25;0
64000;37;36
10957;10;55
3872;8;451
1782;8;62
21822;29;339
14194;34;4
2365;4;36
5977;10;42
12701;15;316
14738;40;34
7031;9;326
8717;12;321
2862;6;321
64990;171;39
9692;13;370
49054;203;0
48307;44;81
3772;20;36
11290;65;146
6522;16;54
4154;8;49
8487;14;321
10957;32;316
15688;56;16
11097;16;48
10247;17;316
12914;14;316
45320;15;316
19673;34;321
23160;81;88
2813;4;316
20419;56;68
3546;4;320
1977;7;54
16933;74;121
21665;6;316
12700;30;49
1597;6;118
1580;5;133
5418;4;133
4550;14;316
7969;38;364
19673;32;126
3105;11;316
3551;8;361
3496;11;344
5404;14;44
33865;37;484
5910;11;385
4732;9;36
5319;14;413
2434;5;406
9366;24;56
1584;7;414
6800;12;316
5073;27;38
4682;18;319
2405;5;55
6279;81;406
27143;48;333
7084;22;325
28598;23;326
4834;21;109
9585;30;354
19619;6;316
11825;25;22
137627;75;429
23083;79;14
3556;8;9
29881;22;316
4258;10;459
38756;56;322
27458;55;38
15389;18;330
14692;28;360
12886;51;36
46066;126;41
4877;8;365
8841;17;316
8467;12;398
20668;49;316
2872;9;106
6884;8;3
2199;9;161
104648;233;320
12949;40;80
18905;37;342
11953;15;318
6477;10;320
11953;25;316
13189;24;38
11206;16;316
11455;22;316
9888;16;322
51046;73;0
4808;7;2
4115;18;326
13692;22;45
16049;32;321
5230;11;316
4175;11;330
43825;38;48
18676;36;316
34320;76;22
12994;14;55
2169;3;0
7550;10;144
20671;23;415
2987;11;316
28658;35;356
3985;8;316
7679;11;22
25399;53;45
2114;2;62
3924;10;49
3354;6;12
21250;9;330
7476;15;353
3627;16;328
15439;38;459
3527;11;316
31614;38;316
5073;12;55
2548;9;13
3683;9;316
4483;7;17
1749;4;10
52540;98;397
8284;36;4
4646;13;113
18909;40;80
6765;9;49
14273;29;49
2965;12;1
54781;164;36
7541;15;341
17911;8;71
32112;55;316
5495;16;361
12700;7;417
1264;0;316
4483;9;389
23710;66;386
7721;8;154
13084;18;430
3490;20;316
19248;28;36
5272;16;62
5255;17;2
15143;56;61
17182;32;361
6075;10;657
19026;28;0
3769;14;316
13802;22;410
4371;13;36
7972;17;361
2780;2;361
16133;12;316
18179;64;384
3985;6;316
4981;7;4
3080;12;345
6700;9;0
5077;7;36
8272;13;410
35608;51;42
10951;20;323
15018;25;51
128983;391;328
5125;20;370
27641;81;316
6479;11;7
4838;8;316
21881;30;316
24652;20;316
10957;23;50
6226;0;319
4772;12;72
41591;60;46
4744;13;445
6503;23;22
2230;6;36
5653;25;316
13559;34;347
8716;26;45
2292;6;392
10459;32;316
6475;17;413
10460;36;369
20288;58;316
138943;46;365
1930;7;50
42951;82;116
2262;9;316
23038;58;418
14194;30;330
17185;44;316
40454;89;81
11733;26;361
9254;33;126
2907;10;321
20791;33;323
17165;13;36
46564;15;372
11443;18;320
2193;2;320
37384;28;316
5021;6;316
1517;1;36
318970;208;334
2138;2;37
7671;25;3
1745;4;316
1665;2;36
39119;82;433
15688;35;0
8361;16;411
15167;26;430
2340;12;425
6921;9;443
10957;25;408
5479;12;337
8878;1;321
55076;14;316
14195;8;335
36492;46;368
18146;83;316
11768;20;316
10939;11;317
24403;46;327
10017;16;167
7578;20;53
71971;57;360
4953;18;316
11768;43;14
27889;16;368
15439;37;320
11206;34;45
20819;70;28
65488;44;356
4344;10;35
35857;79;22
5207;8;406
4261;11;343
23284;50;25
13945;19;376
6226;12;418
3937;9;26
4280;11;316
3660;5;399
14973;30;36
10737;12;422
3991;12;331
5550;16;109
4569;7;36
16139;21;48
12245;18;326
8467;35;406
36832;58;454
7969;30;335
6215;22;351
72958;48;406
53741;148;93
21685;42;66
5566;14;341
1984;5;316
7223;10;316
8953;27;153
3564;10;0
61082;39;413
6316;13;377
13945;31;7
7970;26;41
6944;9;409
18543;24;366
18179;19;36
18677;52;361
35112;237;60
4051;17;384
5977;11;1
2731;7;365
5661;9;415
2840;6;115
7970;8;80
2795;3;316
12202;27;316
2408;6;36
4484;5;316
16436;39;70
10708;17;320
6313;10;316
4498;17;418
59014;50;36
13338;26;178
19174;35;409
5854;6;144
5500;10;316
7032;9;316
3891;10;65
16036;29;100
6226;22;27
1505;3;350
6974;8;0
5159;17;352
18925;31;316
4981;12;22
10086;18;0
4274;12;78
2002;2;53
10313;18;323
10730;13;469
16437;20;316
4117;15;36
2520;8;226
13950;23;36
1874;6;45
8461;17;87
26860;25;100
4680;17;434
44037;53;415
16851;65;27
59479;156;90
4634;8;349
48059;50;439
2485;3;56
14631;46;43
8218;14;341
13590;44;0
10147;48;26
4432;2;0
6861;12;64
23407;45;17
3819;16;316
17934;62;60
17322;60;56
4234;8;341
69058;258;9
1318;2;0
13449;46;61
7680;11;458
2492;5;0
57521;91;316
2097;2;406
24154;21;152
1110;4;10
12700;22;321
8820;46;36
10279;14;321
38099;116;41
2949;4;126
20419;24;88
42829;133;316
36107;40;36
31904;40;44
7065;8;41
29134;73;119
1172;3;43
72685;147;316
41833;46;87
8757;15;406
3762;11;316
3380;12;463
15475;30;410
25920;42;352
18925;29;427
20328;31;316
4743;12;22
28521;26;316
6080;27;316
40090;149;22
4513;7;423
5545;17;99
63810;338;0
5603;13;1
20980;19;341
6436;19;5
6808;20;55
6226;18;100
51295;44;361
13955;26;361
13198;21;316
4883;13;36
6211;8;25
15489;74;22
24262;28;418
7719;11;361
23071;119;126
4733;11;316
9934;20;346
39366;25;27
25969;43;377
3304;7;22
42331;124;53
6995;9;69
13696;44;22
4836;10;36
5965;24;4
5977;6;368
10888;16;330
63731;219;433
2023;5;22
22411;39;316
21913;59;399
5599;40;1
10318;15;319
19773;17;386
61255;54;323
7222;38;41
9532;9;386
47325;44;361
29134;63;346
4499;4;388
2651;7;341
3691;9;316
15688;47;67
62773;27;102
5703;8;316
6245;7;53
6226;30;45
111553;277;109
29881;79;321
12663;26;24
12858;40;22
40962;111;56
22147;18;117
14821;14;326
7788;18;49
2172;5;376
6396;19;36
6706;17;1
29201;169;316
34109;196;70
13406;27;142
72822;46;386
13061;28;370
2379;5;326
9712;29;165
7025;15;330
1908;5;320
1640;2;320
1668;3;15
6805;17;0
6826;17;45
6590;26;316
7716;9;22
8664;28;22
5057;26;75
6907;2;361
17455;14;316
3742;14;36
4512;13;36
11309;47;316
4772;16;349
1074;3;0
6831;22;130
42082;67;316
39344;58;370
1244;7;335
3012;17;356
20170;63;316
45568;96;397
2534;5;342
28886;44;338
3898;5;427
5837;28;318
80179;201;316
4583;10;28
10459;24;316
29882;27;316
7405;35;316
38248;180;129
11351;62;316
7486;38;358
2740;9;36
19814;46;420
7949;26;376
4705;2;33
131474;302;149
37849;40;494
2189;4;22
14386;21;356
16105;30;360
17824;75;11
6819;20;49
13917;46;37
14775;52;121
24901;26;173
4413;4;316
24549;41;316
13292;19;22
31873;103;316
3197;6;321
2284;0;418
8218;15;8
3016;9;458
58267;212;22
11704;32;327
20668;67;316
2216;2;321
4944;15;321
10842;23;61
11905;22;335
75087;68;22
7947;14;316
9712;31;69
6973;4;2
7720;22;434
34230;33;316
2810;7;423
10383;25;10
3314;6;316
5459;16;46
1853;8;22
2242;10;327
5859;18;316
3156;7;57
3738;11;12
5120;15;100
4798;10;647
44822;145;326
10934;20;324
18427;20;10
5727;15;10
1912;5;55
6941;21;1
1966;2;1
10957;52;42
6974;13;54
6523;11;53
2990;3;397
3676;5;389
3914;13;10
1428;3;10
7102;33;91
7926;91;362
9628;24;394
2773;3;316
6827;36;88
2147;5;5
14286;116;116
2932;8;324
8223;17;22
11654;15;316
11830;84;22
7720;32;29
2724;12;385
4061;6;56
3280;9;335
6348;28;318
5101;12;7
4640;6;41
31873;59;54
5810;18;45
504476;2428;43
2901;7;357
4732;10;316
1813;5;4
15937;59;22
4744;24;15
4597;10;55
69722;71;339
3867;8;10
4235;11;10
1744;0;359
6166;12;454
34612;95;116
18178;50;321
4483;9;398
33182;73;325
9158;28;10
2105;0;36
19606;66;316
11456;28;349
9689;14;443
38098;86;57
6683;37;26
15435;26;338
39990;25;499
4997;17;26
2989;14;446
22355;71;316
5559;15;1
94621;389;366
2153;4;316
9500;13;60
19174;65;316
12752;33;36
3736;5;321
1645;1;414
2219;3;157
4907;20;361
13696;19;25
19869;47;362
4986;12;321
2869;11;316
13343;12;22
4389;2;22
32870;25;323
13447;14;22
4977;8;427
35858;71;321
3025;5;4
11592;34;112
2037;4;36
8721;7;316
10982;12;335
97367;50;406
5967;8;389
127653;293;343
16186;50;10
17959;22;2
8102;28;103
6425;17;36
7037;21;326
7042;11;328
12067;45;13
54781;272;316
5307;13;340
1232;4;318
14194;27;366
8723;17;446
23044;31;415
5529;13;369
3469;6;361
1674;5;48
8475;24;62
4746;5;328
33367;23;321
13447;27;22
8965;34;104
16043;25;328
4904;8;138
19672;54;423
13835;10;386
35509;113;365
15296;38;398
8218;24;361
6724;22;316
32296;69;371
6239;11;69
9712;34;324
3752;4;81
2500;0;380
63745;17;316
2003;12;366
3410;2;385
22909;22;352
10210;52;358
3238;17;316
3596;11;316
16736;7;316
24923;49;320
2227;1;380
37102;126;119
5496;7;395
2731;5;455
7290;18;36
2268;5;189
57246;38;447
13300;34;36
25648;16;380
10954;16;316
9173;14;316
3188;7;316
5018;8;363
2867;6;316
3828;16;36
2590;4;353
22414;34;15
18247;46;20
43327;44;317
3751;10;316
23191;47;36
5281;12;366
12570;11;489
11455;18;316
10670;33;316
22912;115;320
3680;7;43
71215;112;370
12171;11;36
49552;151;2
11784;25;361
5860;10;4
2928;4;55
3148;4;380
2516;5;346
2859;8;373
6974;8;66
2230;5;423
9375;28;316
10709;30;391
8542;2;316
28894;76;0
21166;59;361
1993;2;379
7049;18;409
41833;67;27
59512;54;443
11625;30;97
128734;95;316
24884;67;0
6632;9;416
33865;147;36
12949;15;41
62832;166;36
114790;67;316
11109;24;172
21415;40;409
9214;7;316
18412;10;370
2714;9;386
16325;34;36
48577;84;433
36856;53;81
75448;245;53
4587;17;36
9134;15;408
3487;11;337
19503;18;380
5226;16;10
2661;12;434
3778;8;67
4642;9;67
6029;15;55
2990;3;397
6094;7;316
3599;8;17
35380;40;316
13447;25;325
2811;6;116
17182;41;341
6700;6;361
3527;7;373
14551;44;22
3453;3;316
6132;20;36
40561;39;464
7282;21;46
9443;40;22
2185;0;30
15915;19;15
8160;22;41
4848;26;335
2367;12;344
3350;10;0
5126;8;316
93147;214;36
12820;29;0
5732;8;22
6880;18;1
33118;53;361
37351;99;330
6973;32;7
4761;12;416
181150;222;316
6273;8;330
6875;9;422
4843;5;473
15937;16;316
2191;12;361
22899;23;394
138431;30;434
32122;46;394
7038;9;316
4732;7;62
24165;18;316
5964;15;36
6026;8;36
32697;14;345
6724;0;316
49018;111;406
9463;32;337
6482;29;316
2980;5;319
55155;57;22
25039;62;409
1903;4;363
7720;23;357
30591;62;2
2265;5;361
4121;7;60
15362;13;364
2086;0;316
3182;10;0
6034;21;316
7986;17;43
3872;5;394
13721;38;36
11461;35;0
4411;22;421
19762;42;41
16979;77;316
61504;91;323
28231;67;331
19921;59;38
41335;33;333
3952;11;408
8218;43;73
7565;29;36
35857;73;316
82669;102;379
75967;134;442
20917;74;2
26334;22;349
1468;1;316
39080;14;425
7721;6;316
